code,name,description,color
tcp,TCP,"Транспортный протокол, надёжная доставка.",
udp,UDP,Транспортный протокол без гарантии доставки.,
http,HTTP,Прикладной протокол для API/веб.,
https,HTTPS,HTTP поверх TLS.,
tls,TLS,Криптографический протокол для защиты канала.,
grpc,gRPC,"RPC поверх HTTP/2, бинарные протоколы.",
websocket,WebSocket,Двусторонний канал поверх HTTP(S).,
ssh,SSH,Удалённое администрирование/туннелирование.,
sftp,SFTP,Передача файлов поверх SSH.,
ftps,FTPS,FTP поверх TLS.,
dns,DNS,Служба доменных имён.,
ntp,NTP,Синхронизация времени.,
snmp,SNMP,Мониторинг и управление сетевыми устройствами.,
ldap,LDAP,Доступ к каталогу (без TLS).,
ldaps,LDAPS,LDAP поверх TLS.,
amqp,AMQP,Протокол брокеров сообщений (RabbitMQ и т.п.).,
mqtt,MQTT,Легковесный pub/sub протокол (IoT).,
kafka,Kafka protocol,Протокол взаимодействия с Kafka (binary).,
ipsec,IPsec,Набор протоколов для VPN на уровне IP.,
wireguard,WireGuard,Современный VPN-протокол.,
openvpn,OpenVPN,VPN поверх TLS.,
smtp,SMTP,Почтовый протокол отправки.,
