code,name,description,color
internet,Интернет,Ненадёжная внешняя сеть/публичный сегмент.,#E74C3C
dmz,DMZ,Периметровая зона для публичных сервисов и прокси.,#F39C12
partner_dmz,Партнёрская DMZ,Сегмент для интеграций с партнёрами/контрагентами.,#F39C12
internal,Внутренняя сеть,Основной доверенный сегмент организации.,#2ECC71
restricted,Ограниченная зона,Сегмент повышенной защищённости (минимальные доступы).,#1ABC9C
management,Management,"Администрирование, управление, jump hosts.",#2ECC71
data,Зона данных,Сегмент для БД/хранилищ и чувствительных данных.,#1ABC9C
pci,PCI/платёжная зона,Сегмент под требования PCI DSS (если применимо).,#1ABC9C
dev_test,Dev/Test,Непродуктивные окружения (Dev/QA/UAT).,#F1C40F
backup_dr,Backup/DR,Резервное копирование и контуры DR.,#2ECC71
