code,name,description,color
enterprise_architect,Enterprise Architect,Определяет целевую архитектуру предприятия и принципы.,
solution_architect,Solution Architect,Проектирует архитектуру решения и ключевые интеграции.,
domain_architect,Domain Architect,Отвечает за доменную архитектуру (данные/интеграции/платформы).,
security_architect,Security Architect,"Требования ИБ, модели угроз, контроль архитектурных решений.",
data_architect,Data Architect,"Модели данных, DWH/streaming, политики хранения и доступа.",
product_owner,Product Owner,Формирует приоритеты и видение продукта/фич.,
business_owner,Business Owner,Владелец бизнес-результата/бизнес-процесса.,
system_owner,System Owner,"Ответственный за систему в эксплуатации, бюджет и SLA.",
tech_lead,Tech Lead,"Техническое лидерство команды, качество и инженерные практики.",
developer,Разработчик,Разработка и сопровождение кода.,
devops,DevOps/SRE,"Платформа, CI/CD, надёжность, эксплуатация.",
qa,QA/Testing,"Тестирование, контроль качества, автотесты.",
support,Поддержка,"Инциденты, запросы пользователей, сопровождение.",
risk_compliance,Risk/Compliance,"Риски, соответствие требованиям (регулятор/аудит).",
project_manager,Project Manager,"Планирование, координация, управление сроками/рисками.",
stakeholder,Stakeholder,Заинтересованная сторона/потребитель результатов.,
